,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI
35,Brazil,4,80+,4159000.0,71865.0,1549000.0,37348.0,1511652.0,2610000.0,34517.0,2575483.0,1.823154178591427,1.7969120577035216,1.8497795396639274
36,Brunei Darussalam,1,0-19,130000.0,1.0,67000.0,0.0,67000.0,63000.0,1.0,62999.0,0.0,N/A,N/A
37,Brunei Darussalam,2,20-49,215000.0,20.0,113000.0,12.0,112988.0,102000.0,8.0,101992.0,1.3539823008849559,0.5534834894458095,3.312236238420281
38,Brunei Darussalam,3,50-79,89000.0,48.0,46000.0,31.0,45969.0,43000.0,17.0,42983.0,1.7046035805626598,0.9436084758474247,3.079320969703613
39,Brunei Darussalam,4,80+,4000.0,24.0,2000.0,12.0,1988.0,2000.0,12.0,1988.0,1.0,0.45033544626700883,2.220566931360515
40,Cabo Verde,1,0-19,153000.0,1.0,78000.0,1.0,77999.0,75000.0,0.0,75000.0,inf,,inf
41,Cabo Verde,2,20-49,257000.0,7.0,134000.0,4.0,133996.0,123000.0,3.0,122997.0,1.2238805970149254,0.27391756059651867,5.468374179762781
42,Cabo Verde,3,50-79,80000.0,55.0,35000.0,37.0,34963.0,45000.0,18.0,44982.0,2.642857142857143,1.504988102353733,4.641029298920886
43,Cabo Verde,4,80+,6000.0,49.0,2000.0,23.0,1977.0,4000.0,26.0,3974.0,1.7692307692307694,1.012138999260043,3.0926360085732467
44,Cambodia,1,0-19,6588000.0,0.0,3350000.0,0.0,3350000.0,3238000.0,0.0,3238000.0,,,
45,Cambodia,2,20-49,7337000.0,37.0,3606000.0,27.0,3605973.0,3731000.0,10.0,3730990.0,2.793594009983361,1.352246811689943,5.7712596732706025
46,Cambodia,3,50-79,2468000.0,62.0,1057000.0,29.0,1056971.0,1411000.0,33.0,1410967.0,1.173102835354491,0.7123248468158746,1.9319419622497955
47,Cambodia,4,80+,94000.0,6.0,35000.0,3.0,34997.0,59000.0,3.0,58997.0,1.6857142857142857,0.3402450181835866,8.351724496162822
48,Cameroon,1,0-19,14023000.0,4.0,7069000.0,2.0,7068998.0,6954000.0,2.0,6953998.0,0.9837317866742115,0.13856694481847862,6.9838317455938075
49,Cameroon,2,20-49,10093000.0,61.0,5052000.0,40.0,5051960.0,5041000.0,21.0,5040979.0,1.9006145609471028,1.120751526135983,3.2231369978485813
50,Cameroon,3,50-79,2356000.0,25.0,1127000.0,15.0,1126985.0,1229000.0,10.0,1228990.0,1.6357586512866016,0.734874264978702,3.6410396890636907
