country,date,age_group,age_begin,age_end,deathsF,deathsM,populationin1000sF,Num female infection,populationin1000sM,Num male infection,Total infection,Total Death,% female infection,% male infection,% female death,% male death,Country begin,Bin 0-19,Bin 20-49,Bin 50-79,Bin 80+,Total
Cabo Verde,12/27/2020,25-29,25,29,0,3,26,26000,27,27000,53000,3,49.06,50.94,0,100,,0,1,0,0,0
Cabo Verde,12/27/2020,30-34,30,34,3,0,24,24000,27,27000,51000,3,47.06,52.94,100,0,,0,1,0,0,0
Cabo Verde,12/27/2020,35-39,35,39,0,0,21,21000,23,23000,44000,0,47.73,52.27,,,,0,1,0,0,0
Cabo Verde,12/27/2020,40-44,40,44,0,1,16,16000,18,18000,34000,1,47.06,52.94,0,100,,0,1,0,0,0
Cabo Verde,12/27/2020,45-49,45,49,0,0,13,13000,15,15000,28000,0,46.43,53.57,,,,0,1,0,0,0
Cabo Verde,12/27/2020,50-54,50,54,0,2,13,13000,12,12000,25000,2,52,48,0,100,,0,0,1,0,0
Cabo Verde,12/27/2020,55-59,55,59,6,6,12,12000,10,10000,22000,12,54.55,45.45,50,50,,0,0,1,0,0
Cabo Verde,12/27/2020,60-64,60,64,6,7,8,8000,6,6000,14000,13,57.14,42.86,46.15,53.85,,0,0,1,0,0
Cabo Verde,12/27/2020,65-69,65,69,3,12,6,6000,4,4000,10000,15,60,40,20,80,,0,0,1,0,0
Cabo Verde,12/27/2020,70-74,70,74,2,4,3,3000,1,1000,4000,6,75,25,33.33,66.67,,0,0,1,0,0
Cabo Verde,12/27/2020,75-79,75,79,1,6,3,3000,2,2000,5000,7,60,40,14.29,85.71,,0,0,1,0,0
Cabo Verde,12/27/2020,80-84,80,84,16,10,3,3000,1,1000,4000,26,75,25,61.54,38.46,,0,0,0,1,0
Cabo Verde,12/27/2020,85-89,85,89,6,6,1,1000,1,1000,2000,12,50,50,50,50,,0,0,0,1,0
Cabo Verde,12/27/2020,90-94,90,94,4,7,0,0,0,0,0,11,,,36.36,63.64,,0,0,0,1,0
Cabo Verde,,,,,47,65,247,247000,249,249000,496000,112,49.8,50.2,41.96,58.04,,0,0,0,0,1
Cambodia,5/3/2021,0-9,0,9,0,0,1725,1725000,1797,1797000,3522000,0,48.98,51.02,,,,1,0,0,0,0
Cambodia,5/3/2021,19-Oct,10,19,0,0,1513,1513000,1553,1553000,3066000,0,49.35,50.65,,,,1,0,0,0,0
Cambodia,5/3/2021,20-29,20,29,2,3,1526,1526000,1576,1576000,3102000,5,49.19,50.81,40,60,,0,1,0,0,0
Cambodia,5/3/2021,30-39,30,39,3,11,1468,1468000,1373,1373000,2841000,14,51.67,48.33,21.43,78.57,,0,1,0,0,0
Cambodia,5/3/2021,40-49,40,49,5,13,737,737000,657,657000,1394000,18,52.87,47.13,27.78,72.22,,0,1,0,0,0
Cambodia,5/3/2021,50-59,50,59,10,12,733,733000,618,618000,1351000,22,54.26,45.74,45.45,54.55,,0,0,1,0,0
Cambodia,5/3/2021,60-69,60,69,12,9,476,476000,307,307000,783000,21,60.79,39.21,57.14,42.86,,0,0,1,0,0
Cambodia,5/3/2021,70-79,70,79,11,8,202,202000,132,132000,334000,19,60.48,39.52,57.89,42.11,,0,0,1,0,0
Cambodia,5/3/2021,80-89,80,89,3,2,55,55000,33,33000,88000,5,62.5,37.5,60,40,,0,0,0,1,0
Cambodia,5/3/2021,90+,90,999,0,1,4,4000,2,2000,6000,1,66.67,33.33,0,100,,0,0,0,1,0
Cambodia,,,,,46,59,8439,8439000,8048,8048000,16487000,105,51.19,48.81,43.81,56.19,,0,0,0,0,1
Cameroon,4/6/2020,0-4,0,4,1,0,2038,2038000,2078,2078000,4116000,1,49.51,50.49,100,0,,1,0,0,0,0
Cameroon,4/6/2020,9-May,5,9,0,0,1848,1848000,1882,1882000,3730000,0,49.54,50.46,,,,1,0,0,0,0
Cameroon,4/6/2020,14-Oct,10,14,0,0,1648,1648000,1673,1673000,3321000,0,49.62,50.38,,,,1,0,0,0,0
Cameroon,4/6/2020,15-19,15,19,1,2,1420,1420000,1436,1436000,2856000,3,49.72,50.28,33.33,66.67,,1,0,0,0,0
Cameroon,4/6/2020,20-24,20,24,1,5,1206,1206000,1214,1214000,2420000,6,49.83,50.17,16.67,83.33,,0,1,0,0,0
Cameroon,4/6/2020,25-29,25,29,4,9,1065,1065000,1067,1067000,2132000,13,49.95,50.05,30.77,69.23,,0,1,0,0,0
Cameroon,4/6/2020,30-34,30,34,7,9,930,930000,931,931000,1861000,16,49.97,50.03,43.75,56.25,,0,1,0,0,0
Cameroon,4/6/2020,35-39,35,39,4,6,769,769000,770,770000,1539000,10,49.97,50.03,40,60,,0,1,0,0,0
Cameroon,4/6/2020,40-44,40,44,2,3,601,601000,602,602000,1203000,5,49.96,50.04,40,60,,0,1,0,0,0
Cameroon,4/6/2020,45-49,45,49,3,8,470,470000,468,468000,938000,11,50.11,49.89,27.27,72.73,,0,1,0,0,0
Cameroon,4/6/2020,50-54,50,54,4,5,368,368000,361,361000,729000,9,50.48,49.52,44.44,55.56,,0,0,1,0,0
Cameroon,4/6/2020,55-59,55,59,5,0,287,287000,273,273000,560000,5,51.25,48.75,100,0,,0,0,1,0,0
Cameroon,4/6/2020,60-64,60,64,1,6,220,220000,201,201000,421000,7,52.26,47.74,14.29,85.71,,0,0,1,0,0
Cameroon,4/6/2020,65-69,65,69,0,3,168,168000,145,145000,313000,3,53.67,46.33,0,100,,0,0,1,0,0
Cameroon,4/6/2020,70-74,70,74,0,1,116,116000,94,94000,210000,1,55.24,44.76,0,100,,0,0,1,0,0
Cameroon,4/6/2020,75-79,75,79,0,0,70,70000,53,53000,123000,0,56.91,43.09,,,,0,0,1,0,0
Cameroon,4/6/2020,80+,80,999,0,1,45,45000,30,30000,75000,1,60,40,0,100,,0,0,0,1,0
Cameroon,,,,,33,58,13269,13269000,13278,13278000,26547000,91,49.98,50.02,36.26,63.74,,0,0,0,0,1
Canada,6/9/2022,0-11,0,11,19,14,2327,2327000,2439,2439000,4766000,33,48.83,51.17,57.58,42.42,,1,0,0,0,0
Canada,6/9/2022,19-Dec,12,19,9,9,1551,1551000,1625,1625000,3176000,18,48.84,51.16,50,50,,1,0,0,0,0
Canada,6/9/2022,20-29,20,29,51,81,2499,2499000,2598,2598000,5097000,132,49.03,50.97,38.64,61.36,,0,1,0,0,0
Canada,6/9/2022,30-39,30,39,122,200,2641,2641000,2638,2638000,5279000,322,50.03,49.97,37.89,62.11,,0,1,0,0,0
Canada,6/9/2022,40-49,40,49,249,429,2433,2433000,2414,2414000,4847000,678,50.2,49.8,36.73,63.27,,0,1,0,0,0
Canada,6/9/2022,50-59,50,59,728,1168,2586,2586000,2597,2597000,5183000,1896,49.89,50.11,38.4,61.6,,0,0,1,0,0
Canada,6/9/2022,60-69,60,69,1632,2842,2390,2390000,2323,2323000,4713000,4474,50.71,49.29,36.48,63.52,,0,0,1,0,0
Canada,6/9/2022,70-79,70,79,3493,5441,1583,1583000,1436,1436000,3019000,8934,52.43,47.57,39.1,60.9,,0,0,1,0,0
Canada,,,,,6303,10184,18010,18010000,18070,18070000,36080000,16615,49.92,50.08,37.94,61.29,,0,0,0,0,1
Chad,5/16/2021,0-4,0,4,0,0,1426,1426000,1446,1446000,2872000,0,49.65,50.35,,,,1,0,0,0,0
Chad,5/16/2021,14-May,5,14,0,0,2291,2291000,2304,2304000,4595000,0,49.86,50.14,,,,1,0,0,0,0
Chad,5/16/2021,15-24,15,24,3,1,1635,1635000,1642,1642000,3277000,4,49.89,50.11,75,25,,1,0,0,0,0
Chad,5/16/2021,25-34,25,34,1,2,1074,1074000,1076,1076000,2150000,3,49.95,50.05,33.33,66.67,,0,1,0,0,0
Chad,5/16/2021,35-44,35,44,4,7,666,666000,670,670000,1336000,11,49.85,50.15,36.36,63.64,,0,1,0,0,0
Chad,5/16/2021,45-59,45,59,6,30,555,555000,533,533000,1088000,36,51.01,48.99,16.67,83.33,,0,0,0,0,0
Chad,5/16/2021,60+,60,999,10,50,339,339000,289,289000,628000,60,53.98,46.02,16.67,83.33,,0,0,0,0,0
Chad,,,,,24,90,7986,7986000,7960,7960000,15946000,114,50.08,49.92,21.05,78.95,,0,0,0,0,1
Chile,3/7/2022,0-4,0,4,15,12,570,570000,592,592000,1162000,27,49.05,50.95,55.56,44.44,,1,0,0,0,0
Chile,3/7/2022,9-May,5,9,7,10,622,622000,644,644000,1266000,17,49.13,50.87,41.18,58.82,,1,0,0,0,0
Chile,3/7/2022,14-Oct,10,14,16,14,614,614000,636,636000,1250000,30,49.12,50.88,53.33,46.67,,1,0,0,0,0
Chile,3/7/2022,15-19,15,19,33,25,612,612000,632,632000,1244000,58,49.2,50.8,56.9,43.1,,1,0,0,0,0
Chile,3/7/2022,20-24,20,24,55,54,691,691000,712,712000,1403000,109,49.25,50.75,50.46,49.54,,0,1,0,0,0
Chile,3/7/2022,25-29,25,29,92,132,784,784000,809,809000,1593000,224,49.22,50.78,41.07,58.93,,0,1,0,0,0
Chile,3/7/2022,30-34,30,34,136,232,761,761000,785,785000,1546000,368,49.22,50.78,36.96,63.04,,0,1,0,0,0
Chile,3/7/2022,35-39,35,39,169,316,693,693000,707,707000,1400000,485,49.5,50.5,34.85,65.15,,0,1,0,0,0
Chile,3/7/2022,40-44,40,44,274,481,661,661000,663,663000,1324000,755,49.92,50.08,36.29,63.71,,0,1,0,0,0
Chile,3/7/2022,45-49,45,49,407,768,633,633000,621,621000,1254000,1175,50.48,49.52,34.64,65.36,,0,1,0,0,0
Chile,3/7/2022,50-54,50,54,693,1272,619,619000,595,595000,1214000,1965,50.99,49.01,35.27,64.73,,0,0,1,0,0
Chile,3/7/2022,55-59,55,59,1142,1988,587,587000,550,550000,1137000,3130,51.63,48.37,36.49,63.51,,0,0,1,0,0
Chile,3/7/2022,60-64,60,64,1609,2699,515,515000,467,467000,982000,4308,52.44,47.56,37.35,62.65,,0,0,1,0,0
Chile,3/7/2022,65-69,65,69,1947,3102,433,433000,377,377000,810000,5049,53.46,46.54,38.56,61.44,,0,0,1,0,0
Chile,3/7/2022,70-74,70,74,2443,3613,318,318000,263,263000,581000,6056,54.73,45.27,40.34,59.66,,0,0,1,0,0
Chile,3/7/2022,75-79,75,79,2889,3886,236,236000,176,176000,412000,6775,57.28,42.72,42.64,57.36,,0,0,1,0,0
Chile,3/7/2022,80+,80,999,9414,8307,343,343000,195,195000,538000,17721,63.75,36.25,53.12,46.88,,0,0,0,1,0
chile,,,,,21341,26911,9692,9692000,9424,9424000,19116000,48252,50.7,49.3,44.23,55.77,,0,0,0,0,1
Colombia,6/13/2022,0-9,0,9,82,107,3622,3622000,3793,3793000,7415000,189,48.85,51.15,43.39,56.61,,1,0,0,0,0
Colombia,6/13/2022,19-Oct,10,19,98,121,3974,3974000,4146,4146000,8120000,219,48.94,51.06,44.75,55.25,,1,0,0,0,0
Colombia,6/13/2022,20-29,20,29,672,948,4365,4365000,4482,4482000,8847000,1620,49.34,50.66,41.48,58.52,,0,1,0,0,0
Colombia,6/13/2022,30-39,30,39,1521,3084,3928,3928000,3882,3882000,7810000,4605,50.29,49.71,33.03,66.97,,0,1,0,0,0
Colombia,6/13/2022,40-49,40,49,3326,6856,3381,3381000,3070,3070000,6451000,10182,52.41,47.59,32.67,67.33,,0,1,0,0,0
Colombia,6/13/2022,50-59,50,59,7352,12894,2933,2933000,2611,2611000,5544000,20246,52.9,47.1,36.31,63.69,,0,0,1,0,0
Colombia,6/13/2022,60-69,60,69,12432,19463,2043,2043000,1729,1729000,3772000,31895,54.16,45.84,38.98,61.02,,0,0,1,0,0
Colombia,6/13/2022,70-79,70,79,13560,20985,1096,1096000,884,884000,1980000,34545,55.35,44.65,39.25,60.75,,0,0,1,0,0
Colombia,6/13/2022,80-89,80,89,11683,16002,464,464000,330,330000,794000,27685,58.44,41.56,42.2,57.8,,0,0,0,1,0
Colombia,6/13/2022,90+,90,999,4154,4554,93,93000,58,58000,151000,8708,61.59,38.41,47.7,52.3,,0,0,0,1,0
Colombia,,,,,54880,85014,25899,25899000,24985,24985000,50884000,139894,50.9,49.1,39.23,60.77,,0,0,0,0,1
Costa Rica,3/7/2022,0-4,0,4,3,14,170,170000,178,178000,348000,17,48.85,51.15,17.65,82.35,,1,0,0,0,0
Costa Rica,3/7/2022,9-May,5,9,3,4,175,175000,183,183000,358000,7,48.88,51.12,42.86,57.14,,1,0,0,0,0
Costa Rica,3/7/2022,14-Oct,10,14,3,3,174,174000,182,182000,356000,6,48.88,51.12,50,50,,1,0,0,0,0
Costa Rica,3/7/2022,15-19,15,19,10,8,178,178000,186,186000,364000,18,48.9,51.1,55.56,44.44,,1,0,0,0,0
Costa Rica,3/7/2022,20-24,20,24,18,30,196,196000,204,204000,400000,48,49,51,37.5,62.5,,0,1,0,0,0
Costa Rica,3/7/2022,25-29,25,29,27,36,209,209000,216,216000,425000,63,49.18,50.82,42.86,57.14,,0,1,0,0,0
Costa Rica,3/7/2022,30-34,30,34,42,93,213,213000,218,218000,431000,135,49.42,50.58,31.11,68.89,,0,1,0,0,0
Costa Rica,3/7/2022,35-39,35,39,76,126,196,196000,199,199000,395000,202,49.62,50.38,37.62,62.38,,0,1,0,0,0
Costa Rica,3/7/2022,40-44,40,44,118,182,174,174000,174,174000,348000,300,50,50,39.33,60.67,,0,1,0,0,0
Costa Rica,3/7/2022,45-49,45,49,131,248,153,153000,149,149000,302000,379,50.66,49.34,34.56,65.44,,0,1,0,0,0
Costa Rica,3/7/2022,50-54,50,54,200,366,155,155000,150,150000,305000,566,50.82,49.18,35.34,64.66,,0,0,1,0,0
Costa Rica,3/7/2022,55-59,55,59,293,446,152,152000,146,146000,298000,739,51.01,48.99,39.65,60.35,,0,0,1,0,0
Costa Rica,3/7/2022,60-64,60,64,357,533,125,125000,119,119000,244000,890,51.23,48.77,40.11,59.89,,0,0,1,0,0
Costa Rica,3/7/2022,65-69,65,69,354,535,93,93000,86,86000,179000,889,51.96,48.04,39.82,60.18,,0,0,1,0,0
Costa Rica,3/7/2022,70-74,70,74,330,515,73,73000,66,66000,139000,845,52.52,47.48,39.05,60.95,,0,0,1,0,0
Costa Rica,3/7/2022,75-79,75,79,338,531,50,50000,43,43000,93000,869,53.76,46.24,38.9,61.1,,0,0,1,0,0
Costa Rica,3/7/2022,80+,80,999,873,1222,65,65000,48,48000,113000,2095,57.52,42.48,41.67,58.33,,0,0,0,1,0
Costa Rica,,,,,3176,4892,2551,2551000,2547,2547000,5098000,8068,50.04,49.96,39.37,60.63,,0,0,0,0,1
Croatia,3/21/2022,0-4,0,4,2,2,89,89000,95,95000,184000,4,48.37,51.63,50,50,,1,0,0,0,0
Croatia,3/21/2022,9-May,5,9,0,0,98,98000,104,104000,202000,0,48.51,51.49,,,,1,0,0,0,0
Croatia,3/21/2022,14-Oct,10,14,0,0,103,103000,108,108000,211000,0,48.82,51.18,,,,1,0,0,0,0
Croatia,3/21/2022,15-19,15,19,1,0,96,96000,101,101000,197000,1,48.73,51.27,100,0,,1,0,0,0,0
Croatia,3/21/2022,20-24,20,24,2,3,115,115000,121,121000,236000,5,48.73,51.27,40,60,,0,1,0,0,0
Croatia,3/21/2022,25-29,25,29,2,0,115,115000,121,121000,236000,2,48.73,51.27,100,0,,0,1,0,0,0
Croatia,3/21/2022,30-39,30,39,4,12,265,265000,274,274000,539000,16,49.17,50.83,25,75,,0,1,0,0,0
Croatia,3/21/2022,40-49,40,49,24,28,276,276000,281,281000,557000,52,49.55,50.45,46.15,53.85,,0,1,0,0,0
Croatia,3/21/2022,50-59,50,59,73,155,297,297000,284,284000,581000,228,51.12,48.88,32.02,67.98,,0,0,1,0,0
Croatia,3/21/2022,60-64,60,64,90,199,151,151000,138,138000,289000,289,52.25,47.75,31.14,68.86,,0,0,1,0,0
Croatia,3/21/2022,65-69,65,69,140,328,147,147000,129,129000,276000,468,53.26,46.74,29.91,70.09,,0,0,1,0,0
Croatia,3/21/2022,70-74,70,74,230,402,117,117000,89,89000,206000,632,56.8,43.2,36.39,63.61,,0,0,1,0,0
Croatia,3/21/2022,75-79,75,79,358,423,95,95000,61,61000,156000,781,60.9,39.1,45.84,54.16,,0,0,1,0,0
Croatia,3/21/2022,80+,80,999,1310,1061,161,161000,73,73000,234000,2371,68.8,31.2,55.25,44.75,,0,0,0,1,0
Croatia,,,,,2236,2613,2125,2125000,1979,1979000,4104000,4849,51.78,48.22,46.11,53.89,,0,0,0,0,1
Cuba,7/17/2021,0-9,0,9,1,2,583,583000,622,622000,1205000,3,48.38,51.62,33.33,66.67,,1,0,0,0,0
Cuba,7/17/2021,19-Oct,10,19,1,0,606,606000,650,650000,1256000,1,48.25,51.75,100,0,,1,0,0,0,0
Cuba,7/17/2021,20-29,20,29,4,2,688,688000,749,749000,1437000,6,47.88,52.12,66.67,33.33,,0,1,0,0,0
Cuba,7/17/2021,30-39,30,39,28,16,748,748000,756,756000,1504000,44,49.73,50.27,63.64,36.36,,0,1,0,0,0
Cuba,7/17/2021,40-49,40,49,33,50,775,775000,828,828000,1603000,83,48.35,51.65,39.76,60.24,,0,1,0,0,0
Cuba,7/17/2021,50-59,50,59,125,199,1007,1007000,939,939000,1946000,324,51.75,48.25,38.58,61.42,,0,0,1,0,0
Cuba,7/17/2021,60-69,60,69,153,217,615,615000,543,543000,1158000,370,53.11,46.89,41.35,58.65,,0,0,1,0,0
Cuba,7/17/2021,70-79,70,79,203,288,432,432000,364,364000,796000,491,54.27,45.73,41.34,58.66,,0,0,1,0,0
Cuba,7/17/2021,80+,80,999,268,316,248,248000,176,176000,424000,584,58.49,41.51,45.89,54.11,,0,0,0,1,0
Cuba,,,,,816,1090,5702,5702000,5627,5627000,11329000,1906,50.33,49.67,42.81,57.19,,0,0,0,0,1
Curaçao,2/28/2022,0-4,0,4,0,0,4,4000,5,5000,9000,0,44.44,55.56,,,,1,0,0,0,0
Curaçao,2/28/2022,9-May,5,9,0,0,5,5000,5,5000,10000,0,50,50,,,,1,0,0,0,0
Curaçao,2/28/2022,14-Oct,10,14,0,0,5,5000,5,5000,10000,0,50,50,,,,1,0,0,0,0
Curaçao,2/28/2022,15-19,15,19,0,0,5,5000,6,6000,11000,0,45.45,54.55,,,,1,0,0,0,0
Curaçao,2/28/2022,20-24,20,24,0,1,5,5000,5,5000,10000,1,50,50,0,100,,0,1,0,0,0
Curaçao,2/28/2022,25-29,25,29,1,1,5,5000,5,5000,10000,2,50,50,50,50,,0,1,0,0,0
Curaçao,2/28/2022,30-34,30,34,0,1,5,5000,4,4000,9000,1,55.56,44.44,0,100,,0,1,0,0,0
Curaçao,2/28/2022,35-39,35,39,3,0,5,5000,4,4000,9000,3,55.56,44.44,100,0,,0,1,0,0,0
Curaçao,2/28/2022,40-44,40,44,0,3,5,5000,4,4000,9000,3,55.56,44.44,0,100,,0,1,0,0,0
Curaçao,2/28/2022,45-49,45,49,2,2,6,6000,5,5000,11000,4,54.55,45.45,50,50,,0,1,0,0,0
Curaçao,2/28/2022,50-54,50,54,4,5,7,7000,5,5000,12000,9,58.33,41.67,44.44,55.56,,0,0,1,0,0
Curaçao,2/28/2022,55-59,55,59,7,13,7,7000,6,6000,13000,20,53.85,46.15,35,65,,0,0,1,0,0
Curaçao,2/28/2022,60-64,60,64,8,9,6,6000,5,5000,11000,17,54.55,45.45,47.06,52.94,,0,0,1,0,0
Curaçao,2/28/2022,65-69,65,69,8,15,5,5000,4,4000,9000,23,55.56,44.44,34.78,65.22,,0,0,1,0,0
Curaçao,2/28/2022,70-74,70,74,18,22,4,4000,3,3000,7000,40,57.14,42.86,45,55,,0,0,1,0,0
Curaçao,2/28/2022,75-79,75,79,16,20,3,3000,2,2000,5000,36,60,40,44.44,55.56,,0,0,1,0,0
Curaçao,2/28/2022,80+,80,999,52,52,4,4000,2,2000,6000,104,66.67,33.33,50,50,,0,0,0,1,0
Curaçao,,,,,119,144,86,86000,75,75000,161000,263,53.42,46.58,45.25,54.75,,0,0,0,0,1
Cyprus,3/21/2022,0-4,0,4,1,1,31,31000,33,33000,64000,2,48.44,51.56,50,50,,1,0,0,0,0
Cyprus,3/21/2022,9-May,5,9,0,0,33,33000,35,35000,68000,0,48.53,51.47,,,,1,0,0,0,0
Cyprus,3/21/2022,14-Oct,10,14,1,1,33,33000,35,35000,68000,2,48.53,51.47,50,50,,1,0,0,0,0
Cyprus,3/21/2022,15-19,15,19,0,0,35,35000,38,38000,73000,0,47.95,52.05,,,,1,0,0,0,0
Cyprus,3/21/2022,20-24,20,24,0,0,44,44000,50,50000,94000,0,46.81,53.19,,,,0,1,0,0,0
Cyprus,3/21/2022,25-29,25,29,2,0,46,46000,52,52000,98000,2,46.94,53.06,100,0,,0,1,0,0,0
Cyprus,3/21/2022,30-39,30,39,2,7,93,93000,95,95000,188000,9,49.47,50.53,22.22,77.78,,0,1,0,0,0
Cyprus,3/21/2022,40-49,40,49,6,20,85,85000,81,81000,166000,26,51.2,48.8,23.08,76.92,,0,1,0,0,0
Cyprus,3/21/2022,50-59,50,59,24,38,74,74000,73,73000,147000,62,50.34,49.66,38.71,61.29,,0,0,1,0,0
Cyprus,3/21/2022,60-64,60,64,18,55,33,33000,31,31000,64000,73,51.56,48.44,24.66,75.34,,0,0,1,0,0
Cyprus,3/21/2022,65-69,65,69,22,65,28,28000,27,27000,55000,87,50.91,49.09,25.29,74.71,,0,0,1,0,0
Cyprus,3/21/2022,70-74,70,74,41,88,24,24000,22,22000,46000,129,52.17,47.83,31.78,68.22,,0,0,1,0,0
Cyprus,3/21/2022,75-79,75,79,58,101,18,18000,15,15000,33000,159,54.55,45.45,36.48,63.52,,0,0,1,0,0
Cyprus,3/21/2022,80+,80,999,232,269,24,24000,16,16000,40000,501,60,40,46.31,53.69,,0,0,0,1,0
Cyprus,,,,,407,645,601,601000,603,603000,1204000,1052,49.92,50.08,38.69,61.31,,0,0,0,0,1
Czech Republic,3/21/2022,0-4,0,4,2,2,272,272000,287,287000,559000,4,48.66,51.34,50,50,,1,0,0,0,0
Czech Republic,3/21/2022,9-May,5,9,2,0,270,270000,285,285000,555000,2,48.65,51.35,100,0,,1,0,0,0,0
Czech Republic,3/21/2022,14-Oct,10,14,1,2,279,279000,294,294000,573000,3,48.69,51.31,33.33,66.67,,1,0,0,0,0
Czech Republic,3/21/2022,15-19,15,19,0,3,238,238000,250,250000,488000,3,48.77,51.23,0,100,,1,0,0,0,0
Czech Republic,3/21/2022,20-24,20,24,3,3,230,230000,241,241000,471000,6,48.83,51.17,50,50,,0,1,0,0,0
Czech Republic,3/21/2022,25-29,25,29,10,0,310,310000,324,324000,634000,10,48.9,51.1,100,0,,0,1,0,0,0
Czech Republic,3/21/2022,30-39,30,39,55,97,718,718000,760,760000,1478000,152,48.58,51.42,36.18,63.82,,0,1,0,0,0
Czech Republic,3/21/2022,40-49,40,49,204,344,877,877000,922,922000,1799000,548,48.75,51.25,37.23,62.77,,0,1,0,0,0
Czech Republic,3/21/2022,50-59,50,59,562,1129,669,669000,682,682000,1351000,1691,49.52,50.48,33.23,66.77,,0,0,1,0,0
Czech Republic,3/21/2022,60-64,60,64,616,1389,331,331000,313,313000,644000,2005,51.4,48.6,30.72,69.28,,0,0,1,0,0
Czech Republic,3/21/2022,65-69,65,69,1316,2663,364,364000,317,317000,681000,3979,53.45,46.55,33.07,66.93,,0,0,1,0,0
Czech Republic,3/21/2022,70-74,70,74,2369,4264,342,342000,271,271000,613000,6633,55.79,44.21,35.72,64.28,,0,0,1,0,0
Czech Republic,3/21/2022,75-79,75,79,3206,4749,246,246000,173,173000,419000,7955,58.71,41.29,40.3,59.7,,0,0,1,0,0
Czech Republic,3/21/2022,80+,80,999,9626,8650,292,292000,153,153000,445000,18276,65.62,34.38,52.67,47.33,,0,0,0,1,0
Czech Republic,,,,,17972,23295,5438,5438000,5272,5272000,10710000,41267,50.77,49.23,43.55,56.45,,0,0,0,0,1
Denmark,6/15/2022,0-9,0,9,1,2,295,295000,311,311000,606000,3,48.68,51.32,33.33,66.67,,1,0,0,0,0
Denmark,6/15/2022,19-Oct,10,19,1,3,330,330000,346,346000,676000,4,48.82,51.18,25,75,,1,0,0,0,0
Denmark,6/15/2022,20-29,20,29,9,15,379,379000,397,397000,776000,24,48.84,51.16,37.5,62.5,,0,1,0,0,0
Denmark,6/15/2022,30-39,30,39,9,13,332,332000,340,340000,672000,22,49.4,50.6,40.91,59.09,,0,1,0,0,0
Denmark,6/15/2022,40-49,40,49,29,47,370,370000,368,368000,738000,76,50.14,49.86,38.16,61.84,,0,1,0,0,0
Denmark,6/15/2022,50-59,50,59,67,133,403,403000,407,407000,810000,200,49.75,50.25,33.5,66.5,,0,0,1,0,0
Denmark,6/15/2022,60-69,60,69,208,372,334,334000,320,320000,654000,580,51.07,48.93,35.86,64.14,,0,0,1,0,0
Denmark,6/15/2022,70-79,70,79,604,1015,305,305000,281,281000,586000,1619,52.05,47.95,37.31,62.69,,0,0,1,0,0
Denmark,6/15/2022,80-89,80,89,1084,1338,131,131000,94,94000,225000,2422,58.22,41.78,44.76,55.24,,0,0,0,1,0
Denmark,6/15/2022,90+,90,999,896,571,34,34000,14,14000,48000,1467,70.83,29.17,61.08,38.92,,0,0,0,1,0
Denmark,,,,,2908,3509,2913,2913000,2878,2878000,5791000,6417,50.3,49.7,45.32,54.68,,0,0,0,0,1
Dominican Republic,2/7/2022,0-4,0,4,11,10,491,491000,512,512000,1003000,21,48.95,51.05,52.38,47.62,,1,0,0,0,0
Dominican Republic,2/7/2022,9-May,5,9,2,2,488,488000,508,508000,996000,4,49,51,50,50,,1,0,0,0,0
Dominican Republic,2/7/2022,14-Oct,10,14,4,3,479,479000,498,498000,977000,7,49.03,50.97,57.14,42.86,,1,0,0,0,0
Dominican Republic,2/7/2022,15-19,15,19,10,5,470,470000,489,489000,959000,15,49.01,50.99,66.67,33.33,,1,0,0,0,0
Dominican Republic,2/7/2022,20-24,20,24,22,22,462,462000,477,477000,939000,44,49.2,50.8,50,50,,0,1,0,0,0
Dominican Republic,2/7/2022,25-29,25,29,33,24,456,456000,458,458000,914000,57,49.89,50.11,57.89,42.11,,0,1,0,0,0
Dominican Republic,2/7/2022,30-34,30,34,44,46,416,416000,410,410000,826000,90,50.36,49.64,48.89,51.11,,0,1,0,0,0
Dominican Republic,2/7/2022,35-39,35,39,48,69,366,366000,372,372000,738000,117,49.59,50.41,41.03,58.97,,0,1,0,0,0
Dominican Republic,2/7/2022,40-44,40,44,41,85,337,337000,332,332000,669000,126,50.37,49.63,32.54,67.46,,0,1,0,0,0
Dominican Republic,2/7/2022,45-49,45,49,56,129,308,308000,299,299000,607000,185,50.74,49.26,30.27,69.73,,0,1,0,0,0
Dominican Republic,2/7/2022,50-54,50,54,78,182,277,277000,264,264000,541000,260,51.2,48.8,30,70,,0,0,1,0,0
Dominican Republic,2/7/2022,55-59,55,59,121,236,243,243000,230,230000,473000,357,51.37,48.63,33.89,66.11,,0,0,1,0,0
Dominican Republic,2/7/2022,60-64,60,64,155,274,200,200000,189,189000,389000,429,51.41,48.59,36.13,63.87,,0,0,1,0,0
Dominican Republic,2/7/2022,65-69,65,69,160,309,152,152000,141,141000,293000,469,51.88,48.12,34.12,65.88,,0,0,1,0,0
Dominican Republic,2/7/2022,70-74,70,74,210,365,108,108000,96,96000,204000,575,52.94,47.06,36.52,63.48,,0,0,1,0,0
Dominican Republic,2/7/2022,75-79,75,79,180,310,74,74000,64,64000,138000,490,53.62,46.38,36.73,63.27,,0,0,1,0,0
Dominican Republic,2/7/2022,80+,80,999,461,574,102,102000,80,80000,182000,1035,56.04,43.96,44.54,55.46,,0,0,0,1,0
Dominican Republic,,,,,1636,2645,5429,5429000,5419,5419000,10848000,4281,50.05,49.95,38.22,61.78,,0,0,0,0,1
