,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI
131,Slovenia,1,0-30,612000,5,315000,1.0,314999.0,297000,4.0,296996.0,0.2357142857142857,0.026345027140810027,2.108983383954395
132,Slovenia,2,30+,1468000,7596,720000,3807.0,716193.0,748000,3789.0,744211.0,1.0438242280285035,0.9980321603364924,1.0917173437095922
133,South Africa,1,0-30,32136000,2785,16215000,1239.0,16213761.0,15921000,1546.0,15919454.0,0.7868921378676493,0.7302293442150689,0.847951731251643
134,South Africa,2,30+,27172000,100635,13001000,49004.0,12951996.0,14171000,51631.0,14119369.0,1.0345339189175737,1.0218480223805384,1.04737730655644
135,Spain,1,0-30,13588000,210,6983000,118.0,6982882.0,6605000,92.0,6604908.0,1.2131792116257494,0.9237104062375251,1.5933606350889282
136,Spain,2,30+,33166000,106786,15995000,59029.0,15935971.0,17171000,47757.0,17123243.0,1.3269046997543958,1.3110193894287354,1.3429824886094948
137,Sudan,1,0-30,29878000,41,15124000,25.0,15123975.0,14754000,16.0,14753984.0,1.524274332187252,0.8138433987280059,2.8548640234672464
138,Sudan,2,30+,13970000,998,6783000,685.0,6782315.0,7187000,313.0,7186687.0,2.3188468257657866,2.028611979578838,2.650605761719103
139,Sweden,1,0-30,3597000,44,1845000,23.0,1844977.0,1752000,21.0,1751979.0,1.0400309717382887,0.5756130830379871,1.8791519061138253
140,Sweden,2,30+,6499000,18110,3212000,9895.0,3202105.0,3287000,8215.0,3278785.0,1.232629048554227,1.197138987804678,1.269171238108232
141,Switzerland,1,0-30,2759000,9,1407000,6.0,1406994.0,1352000,3.0,1351997.0,1.92181947405828,0.480631266317383,7.684456567231995
142,Switzerland,2,30+,5896000,13544,2886000,7291.0,2878709.0,3010000,6253.0,3003747.0,1.2160987396874172,1.175747474691904,1.257834846770016
143,Trinidad and Tobago,1,0-30,551000,51,280000,24.0,279976.0,271000,27.0,270973.0,0.8603174603174603,0.49644112288523345,1.4909041544050143
144,Trinidad and Tobago,2,30+,849000,2376,412000,1374.0,410626.0,437000,1002.0,435998.0,1.454464856694378,1.3408790710997949,1.5776724873659798
145,Tunisia,1,0-30,5383000,169,2771000,113.0,2770887.0,2612000,56.0,2611944.0,1.9020724854358921,1.3807705481510695,2.6201889551430684
146,Tunisia,2,30+,6435000,1045,3090000,701.0,3089299.0,3345000,344.0,3344656.0,2.205957891171822,1.9389478324794227,2.509737568029631
147,Turkey,1,0-30,40188000,462,20505000,153.0,20504847.0,19683000,309.0,19682691.0,0.47529634022485634,0.39157804108734934,0.5769133795241327
148,Turkey,2,30+,44152000,88055,21132000,49731.0,21082269.0,23020000,38324.0,22981676.0,1.4135822329839467,1.3948930093104732,1.4325218608670518
149,USA,1,0-30,128148000,7489,65380000,4388.0,65375612.0,62768000,3101.0,62764899.0,1.3584955720872367,1.2974458811785636,1.4224178797378573
150,USA,2,30+,202855000,837130,98406000,460605.0,97945395.0,104449000,376525.0,104072475.0,1.2984270012960848,1.2928591666897666,1.304018814370439
151,Uganda,1,0-30,19322000,20,9593000,11.0,9592989.0,9729000,9.0,9728991.0,1.2395496716355676,0.5136537442057669,2.991282368295823
152,Uganda,2,30+,11562000,344,5453000,241.0,5452759.0,6109000,103.0,6108897.0,2.621286225271918,2.081181659390121,3.3015577682987325
153,Ukraine,1,0-30,13872000,333,7131000,99.0,7130901.0,6741000,234.0,6740766.0,0.39993851331672114,0.31618307661152223,0.5058803783812643
154,Ukraine,2,30+,29864000,106125,13133000,48681.0,13084319.0,16731000,57444.0,16673556.0,1.0796246014903272,1.0666903305141218,1.0927157083924808
155,Venezuela,1,0-30,14384000,14,7291000,8.0,7290992.0,7093000,6.0,7092994.0,1.2971243085082065,0.4500616380386908,3.7384467582154812
156,Venezuela,2,30+,14054000,587,6695000,357.0,6694643.0,7359000,230.0,7358770.0,1.706116180147417,1.445567568489961,2.0136259858136323
157,Vietnam,1,0-30,44593000,5,23258000,1.0,23257999.0,21335000,4.0,21334996.0,0.22932969300885714,0.025631296810279078,2.0518707455506244
158,Vietnam,2,30+,52301000,81,24895000,36.0,24894964.0,27406000,45.0,27405955.0,0.8806909017875074,0.5681796917882406,1.3650900862897501
