country,deathsF,deathsM,populationin1000sF,populationin1000sM,Total infection,Total Death,% female infection,% male infection,% female death,% male death,Num female infection,Num female death,Num male infection,Num male death
Moldova,6082,5440,1692,1498,3190000,11522,53.04,46.96,52.79,47.21,1691976,6082,1498024,5440
Mongolia,1178,996,1663,1614,3277000,2174,50.75,49.25,54.19,45.81,1663078,1178,1613923,996
Montenegro,932,1532,319,311,630000,2464,50.63,49.37,37.82,62.18,318969,932,311031,1532
Myanmar,81,144,23494,21465,44959000,225,52.26,47.74,36,64,23495573,81,21463427,144
Namibia,55,92,1309,1233,2542000,147,51.49,48.51,37.41,62.59,1308876,55,1233124,92
Nepal,4107,7819,15915,13457,29372000,11926,54.18,45.82,34.44,65.56,15913750,4107,13458250,7819
Netherlands,10325,12444,8598,8536,17134000,22769,50.18,49.82,45.35,54.65,8597841,10326,8536159,12443
Nigeria,631,1439,101668,104467,206135000,2070,49.32,50.68,30.48,69.52,101665782,631,104469218,1439
North Macedonia,3806,5505,1041,1042,2083000,9311,49.98,50.02,40.88,59.12,1041083,3806,1041917,5505
Northern Ireland,1564,1880,961,935,1896000,3444,50.69,49.31,45.41,54.59,961082,1564,934918,1880
Norway,1204,1430,2681,2738,5419000,2634,49.47,50.53,45.71,54.29,2680779,1204,2738221,1430
Oman,869,2003,1737,3372,5109000,2872,34,66,30.26,69.74,1737060,869,3371940,2003
Pakistan,1240,7143,83507,89852,173359000,9986,48.17,51.83,12.42,71.53,83507030,1240,89851970,7143
Palestine,1188,9646,88947,95495,184442000,13954,48.22,51.78,8.51,69.13,88937932,1187,95504068,9646
Panama,504,928,2153,2162,4315000,1432,49.9,50.1,35.2,64.8,2153185,504,2161815,928
Peru,78114,135210,16592,16378,32970000,213324,50.32,49.68,36.62,63.38,16590504,78119,16379496,135205
Philippines,27065,33371,54553,55031,109584000,60436,49.78,50.22,44.78,55.22,54550915,27063,55033085,33373
Poland,9740,12218,16701,15387,32088000,21953,52.05,47.95,44.37,55.66,16701804,9741,15386196,12219
Portugal,10413,11501,5373,4824,10197000,21914,52.69,47.31,47.52,52.48,5372799,10414,4824201,11500
Qatar,75,258,716,2165,2881000,333,24.85,75.15,22.52,77.48,715929,75,2165072,258
Republic of Ireland,2706,3114,2486,2453,4939000,5818,50.33,49.67,46.51,53.52,2485799,2706,2453201,3114
Romania,22325,25753,9883,9353,19236000,48078,51.38,48.62,46.43,53.57,9883457,22323,9352543,25755
Saint Kitts and Nevis,18,24,0,0,0,42,,,42.86,57.14,0,18,0,24
Scotland,7159,7699,2824,2556,5380000,14858,52.49,47.51,48.18,51.82,2823962,7159,2556038,7699
Singapore,29,53,2787,3062,5849000,82,47.65,52.35,35.37,64.63,2787049,29,3061952,53
Sint Maarten,29,39,0,0,0,68,,,42.65,57.35,0,29,0,39
Slovakia,8992,9641,2801,2661,5462000,18633,51.28,48.72,48.26,51.74,2800914,8992,2661086,9641
Slovenia,3793,3808,1045,1035,2080000,7601,50.24,49.76,49.9,50.1,1044992,3793,1035008,3808
South Africa,53177,50243,30092,29216,59308000,103420,50.74,49.26,51.42,48.58,30092879,53179,29215121,50241
Spain,47849,59147,23776,22978,46754000,106996,50.85,49.15,44.72,55.28,23774409,47849,22979591,59147
Sudan,329,710,21941,21907,43848000,1039,50.04,49.96,31.67,68.33,21941539,329,21906461,710
Sweden,8236,9918,5039,5057,10096000,18154,49.91,50.09,45.37,54.63,5038914,8236,5057086,9918
Switzerland,6256,7297,4362,4293,8655000,13553,50.4,49.6,46.16,53.84,4362120,6256,4292880,7297
