,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI
200,Turks and Caicos,1,0-30,0.0,5.0,0.0,3.0,-3.0,0.0,2.0,-2.0,,N/A,N/A
201,Turks and Caicos,2,30+,0.0,29.0,0.0,14.0,-14.0,0.0,15.0,-15.0,,N/A,N/A
202,USA,1,0-30,128148000.0,7489.0,65380000.0,4388.0,65375612.0,62768000.0,3101.0,62764899.0,1.3584955720872367,1.2974458811785636,1.4224178797378573
203,USA,2,30+,202855000.0,837130.0,98406000.0,460605.0,97945395.0,104449000.0,376525.0,104072475.0,1.2984270012960848,1.2928591666897666,1.304018814370439
204,Uganda,1,0-30,19322000.0,20.0,9593000.0,11.0,9592989.0,9729000.0,9.0,9728991.0,1.2395496716355676,0.5136537442057669,2.991282368295823
205,Uganda,2,30+,11562000.0,344.0,5453000.0,241.0,5452759.0,6109000.0,103.0,6108897.0,2.621286225271918,2.081181659390121,3.3015577682987325
206,Ukraine,1,0-30,13872000.0,333.0,7131000.0,99.0,7130901.0,6741000.0,234.0,6740766.0,0.39993851331672114,0.31618307661152223,0.5058803783812643
207,Ukraine,2,30+,29864000.0,106125.0,13133000.0,48681.0,13084319.0,16731000.0,57444.0,16673556.0,1.0796246014903272,1.0666903305141218,1.0927157083924808
208,Venezuela,1,0-30,14384000.0,14.0,7291000.0,8.0,7290992.0,7093000.0,6.0,7092994.0,1.2971243085082065,0.4500616380386908,3.7384467582154812
209,Venezuela,2,30+,14054000.0,587.0,6695000.0,357.0,6694643.0,7359000.0,230.0,7358770.0,1.706116180147417,1.445567568489961,2.0136259858136323
210,Vietnam,1,0-30,44593000.0,5.0,23258000.0,1.0,23257999.0,21335000.0,4.0,21334996.0,0.22932969300885714,0.025631296810279078,2.0518707455506244
211,Vietnam,2,30+,52301000.0,81.0,24895000.0,36.0,24894964.0,27406000.0,45.0,27405955.0,0.8806909017875074,0.5681796917882406,1.3650900862897501
212,Wales,1,0-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
213,Wales,2,30+,2642000.0,10183.0,1293000.0,5527.0,1287473.0,1349000.0,4656.0,1344344.0,1.2384826238561857,1.1912135484213016,1.2876274045291691
